Title,Location,Price,Size,Listing_Type
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",OMR180,166 Sq. M.,For Rent
"6-Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","OMR1,000",300 Sq. M.,For Rent
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat","OMR1,400",300 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,150",109 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR395,60 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",OMR250,109 Sq. M.,For Rent
"6 Bedrooms Villa For Rent in Qurum, Muscat","Qurum, Muscat","OMR1,500",485 Sq. M.,For Rent
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,500",465 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR360,100 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR270,105 Sq. M.,For Rent
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,300",488 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat",OMR800,399 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR700,300 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR200,110 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",OMR550,115 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Muscat Hills, Muscat","Muscat Hills, Muscat",OMR500,106 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Al Hail, Muscat","Al Hail, Muscat",OMR630,250 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR225,59 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR1,250",109 Sq. M.,For Rent
"4 Bedroom Villa For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR900,309 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Bosher, Muscat","Bosher, Muscat",OMR440,67 Sq. M.,For Rent
3 Bedrooms Apartment For Rent Ruwi Muscat,"Ruwi, Muscat",OMR380,253 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat","The Wave (Almouj), Muscat",OMR950,10 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",OMR200,90 Sq. M.,For Rent
"3 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",OMR850,297 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR625,112 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Al Seeb - Muscat,"Al Seeb, Muscat",OMR190,78 Sq. M.,For Rent
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",OMR599,300 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Al Hail, Muscat","Al Hail, Muscat",OMR600,300 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR400,105 Sq. M.,For Rent
"4 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat",OMR950,235 Sq. M.,For Rent
"3 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR750,300 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","OMR1,200",444 Sq. M.,For Rent
3 Bedrooms Villa For Rent Qurum Muscat,"Qurum, Muscat","OMR1,200",350 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR200,107 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR180,85 Sq. M.,For Rent
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR950,409 Sq. M.,For Rent
"3 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",OMR350,138 Sq. M.,For Rent
"8 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR2,500",500 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,200",109 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat The Wave (Almouj),"The Wave (Almouj), Muscat",OMR600,63 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Azaiba, Muscat","Azaiba, Muscat",OMR625,355 Sq. M.,For Rent
"1 Bedroom Chalet For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR50,200 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",OMR600,82 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Salalah, Dhofar","Salalah, Dhofar",OMR50,53 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",OMR350,110 Sq. M.,For Rent
"3 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR550,200 Sq. M.,For Rent
"4-Bedroom Villa For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat","OMR1,200",220 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR130,100 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Al Ghubrah Muscat,"Al Ghubrah, Muscat",OMR275,120 Sq. M.,For Rent
"3 Bedroom Apartment For Rent in Qurum, Muscat","Qurum, Muscat",OMR220,165 Sq. M.,For Rent
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR800,500 Sq. M.,For Rent
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","OMR1,150",113 Sq. M.,For Rent
"4 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR1,900",10 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",OMR325,110 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",OMR190,90 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR275,89 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,350",140 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,350",143 Sq. M.,For Rent
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",OMR900,400 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR320,77 Sq. M.,For Rent
Land For Rent Misfah Muscat,"Misfah, Muscat",OMR420,420 Sq. M.,For Rent
"9 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,899",846 Sq. M.,For Rent
"2 Bedroom Chalet For Rent in Al Amarat, Muscat","Al Amarat, Muscat",OMR50,800 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",OMR390,100 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Azaiba, Muscat","Azaiba, Muscat","OMR1,000",10 Sq. M.,For Rent
2 Bedroom Apartment For Rent Muscat (The Wave - Almouj),"The Wave (Almouj), Muscat",OMR900,119 Sq. M.,For Rent
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat",OMR700,75 Sq. M.,For Rent
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR725,300 Sq. M.,For Rent
"3 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",OMR300,240 Sq. M.,For Rent
"3 Bedroom Chalet For Rent in Bidiya, Al Sharqiya","Bidiya, Al Sharqiya",OMR50,150 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Al Hail, Muscat","Al Hail, Muscat",OMR755,400 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR210,59 Sq. M.,For Rent
"3 Bedroom Apartment For Rent in Al Hail, Muscat","Al Hail, Muscat",OMR600,300 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent in Azaiba, Muscat","Azaiba, Muscat",OMR350,100 Sq. M.,For Rent
"5 Bedrooms Villa For Rent in Qantab, Muscat","Qantab, Muscat","OMR1,750",350 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Qantab, Muscat","Qantab, Muscat","OMR1,750",500 Sq. M.,For Rent
"5 Bedroom Villa For Rent Darsait, Muscat","Darsait, Muscat",OMR400,315 Sq. M.,For Rent
1 Bedroom Apartment For Rent Al Ghubrah Muscat,"Al Ghubrah, Muscat",OMR330,85 Sq. M.,For Rent
"5 Bedroom Villa For Rent Azaiba, Muscat","Azaiba, Muscat","OMR1,000",300 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR400,90 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR180,95 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR225,59 Sq. M.,For Rent
"2 Bedroom Villa For Rent in Saham, Al Batinah","Saham, Al Batinah",OMR90,80 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",OMR250,70 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR350,77 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Qurum Muscat,"Qurum, Muscat",OMR350,300 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat","Al Maabilah, Muscat",OMR600,300 Sq. M.,For Rent
"3 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR950,210 Sq. M.,For Rent
5 Bedroom Villa For Rent in Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",OMR700,370 Sq. M.,For Rent
"3 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",OMR60,"1,500 Sq. M.",For Rent
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR799,349 Sq. M.,For Rent
"7 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,899",788 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR1,199",145 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR799,435 Sq. M.,For Rent
5 Bedroom Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat","OMR1,700",300 Sq. M.,For Rent
3 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",OMR430,300 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Azaiba, Muscat","Al Khuwair, Muscat",OMR160,188 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR300,90 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Barr Al Jissah, Muscat","The Wave (Almouj), Muscat","OMR1,199",125 Sq. M.,For Rent
"2 Bedrooms Chalet For Rent Barka, Al Batinah","Barka, Al Batinah",OMR65,"1,200 Sq. M.",For Rent
"2 Bedrooms Chalet For Rent in Al Amarat, Muscat","Al Amarat, Muscat",OMR50,600 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Taqah, Dhofar","Taqah, Dhofar",OMR60,65 Sq. M.,For Rent
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",OMR50,140 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat","Al Maabilah, Muscat",OMR120,100 Sq. M.,For Rent
"6 Bedroom Villa For Rent Al Khuwair, Muscat","Al Khuwair, Muscat","OMR1,100",615 Sq. M.,For Rent
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,300",490 Sq. M.,For Rent
"5 Bedrooms Villa For Rent in Barr Al Jissah, Muscat","Barr Al Jissah, Muscat","OMR1,800",500 Sq. M.,For Rent
"3 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR600,32 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR850,120 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",OMR200,125 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",OMR140,70 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat",OMR700,129 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat (The Wave - Almouj),"The Wave (Almouj), Muscat",OMR700,10 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",OMR500,120 Sq. M.,For Rent
2 Bedroom Apartment For Rent Bosher Muscat,"Bosher, Muscat",OMR280,100 Sq. M.,For Rent
2 Bedrooms Villa For Rent Muscat - Bosher,"Bosher, Muscat",OMR900,132 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR650,425 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Saham, Al Batinah","Saham, Al Batinah",OMR110,125 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Bosher, Muscat","Al Khoud, Muscat",OMR600,400 Sq. M.,For Rent
Studio Apartment For Rent Al Hail - Muscat,"Al Hail, Muscat",OMR160,60 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR220,25 Sq. M.,For Rent
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,250",240 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Darsait Muscat,"Al Amarat, Muscat",OMR175,110 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR850,300 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Misfah, Muscat","Misfah, Muscat",OMR100,70 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR275,85 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Qantab, Muscat","Qantab, Muscat","OMR1,749",545 Sq. M.,For Rent
"4 Bedrooms Villa For Rent in Bosher, Muscat","Bosher, Muscat",OMR650,300 Sq. M.,For Rent
"Land Residential For Rent Al Qabil, Al Sharqiya","Al Qabil, Al Sharqiya","OMR6,000",500 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Qurum, Muscat","Qurum, Muscat","OMR1,300",80 Sq. M.,For Rent
3 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",OMR850,115 Sq. M.,For Rent
4 Bedroom Villa For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","OMR1,299",330 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR750,275 Sq. M.,For Rent
"3 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR850,275 Sq. M.,For Rent
4 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","OMR1,299",330 Sq. M.,For Rent
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR2,100",650 Sq. M.,For Rent
"3 Bedrooms Apartment For Rent Darsait, Muscat","Darsait, Muscat",OMR230,90 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Al Maabilah, Muscat","Al Maabilah, Muscat",OMR380,290 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR600,159 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR390,120 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR1,350",140 Sq. M.,For Rent
"5 Bedroom Apartment For Rent in Shinas, Al Batinah","Shinas, Al Batinah",OMR100,270 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR500,67 Sq. M.,For Rent
"4 Bedroom Villa For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR2,500",333 Sq. M.,For Rent
"Residential Land For Rent - Misfah, Muscat","Misfah, Muscat",OMR900,"1,000 Sq. M.",For Rent
"2 Bedroom Apartment For Rent Al Khoud, Muscat","Al Khoud, Muscat",OMR110,80 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",OMR499,85 Sq. M.,For Rent
2 Bedrooms Apartment For Rent Al Khuwair Muscat,"Al Khuwair, Muscat",OMR350,105 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Al Amarat, Muscat","Al Amarat, Muscat",OMR343,600 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Khoud, Muscat","Bosher, Muscat",OMR240,115 Sq. M.,For Rent
"3 Bedroom Apartment For Rent Bosher, Muscat","Al Ghubrah, Muscat",OMR200,115 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR120,"5,000 Sq. M.",For Rent
"4 Bedrooms Villa For Rent in Azaiba, Muscat","Madinat As Sultan Qaboos, Muscat",OMR800,300 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Qurum, Muscat","Qurum, Muscat",OMR250,90 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent in Qurum, Muscat","Qurum, Muscat",OMR325,110 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR230,190 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Azaiba, Muscat","Azaiba, Muscat",OMR300,80 Sq. M.,For Rent
"3 Bedrooms Chalet For Rent Al Masn'a, Al Batinah","Al Masn'a, Al Batinah",OMR70,"1,800 Sq. M.",For Rent
"1 Bedroom Apartment For Rent Azaiba, Muscat","Azaiba, Muscat",OMR175,20 Sq. M.,For Rent
5 Bedrooms Villa For Rent Qantab Muscat,"Madinat As Sultan Qaboos, Muscat","OMR1,400",475 Sq. M.,For Rent
1 Bedroom Apartment For Rent Muscat - Al Wadi Al Kabir,"Al Wadi Al Kabir, Muscat",OMR160,150 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR120,"5,000 Sq. M.",For Rent
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","OMR1,200",146 Sq. M.,For Rent
1 Bedroom Apartment For Rent Al Khuwair Muscat,"Al Khuwair, Muscat",OMR250,120 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR525,10 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat",OMR675,110 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat","Al Maabilah, Muscat",OMR185,122 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",OMR325,64 Sq. M.,For Rent
"6 Bedroom Villa For Rent in Al Ghubrah, Muscat","Al Ghubrah, Muscat","OMR1,200",515 Sq. M.,For Rent
"4 Bedroom Villa For Rent in Barr Al Jissah, Muscat","Barr Al Jissah, Muscat","OMR1,750",770 Sq. M.,For Rent
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR650,450 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","OMR1,600",450 Sq. M.,For Rent
"4 Bedroom Apartment For Rent in Bosher, Muscat","Bosher, Muscat",OMR950,280 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",OMR550,495 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Barr Al Jissah, Muscat","Barr Al Jissah, Muscat",OMR800,200 Sq. M.,For Rent
"3 Bedrooms Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",OMR60,300 Sq. M.,For Rent
"3 Bedrooms Apartment For Rent Muscat Hills, Muscat","Muscat Hills, Muscat",OMR850,200 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR500,300 Sq. M.,For Rent
"3 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR275,95 Sq. M.,For Rent
3 Bedroom Villa For Rent Qurum Muscat,"Qurum, Muscat",OMR500,300 Sq. M.,For Rent
"Residential Land For Rent in Misfah, Muscat","Misfah, Muscat",OMR350,400 Sq. M.,For Rent
"2 Bedrooms Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",OMR50,"2,000 Sq. M.",For Rent
2 Bedrooms Apartment For Rent Muscat - Other,"Muscat - Other, Muscat",OMR340,153 Sq. M.,For Rent
1 Bedroom Apartment For Rent Qurum Muscat,"Salalah, Dhofar",OMR150,120 Sq. M.,For Rent
"5 Bedroom Villa For Rent in Al Hail, Muscat","Al Hail, Muscat",OMR500,600 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Ansab, Muscat","Ansab, Muscat",OMR220,100 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat","OMR1,250",162 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Al Maabilah, Muscat","Al Maabilah, Muscat",OMR140,100 Sq. M.,For Rent
3 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",OMR950,200 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR275,80 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Sifah, Muscat","Al Sifah, Muscat",OMR50,120 Sq. M.,For Rent
"2 Bedrooms Chalet For Rent in Al Sifah, Muscat","Al Sifah, Muscat",OMR50,250 Sq. M.,For Rent
