,Title,Location,Price,Size,Listing_Type
33,Unfurnished Monthly in Muscat Bosher,"Muscat, Bosher",100 OMR,Unfurnished Monthly in Muscat Bosher,For Rent
34,محل للايجار الحيل/shop for rent Al-Hil,"Muscat, Al-Hail",600 OMR,محل للايجار الحيل/shop for rent Al-Hil,For Rent
35,100 m2 3 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",48 OMR,100 m2 3 Bedrooms Apartments for Rent in Dhofar Other,For Rent
36,4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",80 OMR,4 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
37,624 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","180,000 OMR",624 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,For Rent
38,2 Bedrooms Chalet for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",40 OMR,2 Bedrooms Chalet for Rent in Muscat Al Maabilah,For Rent
39,36 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",28 OMR,36 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
40,300 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",17 OMR,300 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,For Rent
41,170 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,170 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
42,100 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,100 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,For Rent
43,"Flexible office memberships in Muscat, Pearl Square","Muscat, Muscat Hills",89 OMR,"Flexible office memberships in Muscat, Pearl Square",For Rent
44,"Private office space for 3 persons in Muscat, Al Fardan Heights","Muscat, Ghala",234 OMR,"Private office space for 3 persons in Muscat, Al Fardan Heights",For Rent
45,"Book a reserved coworking spot or hot desk in MUSCAT, Beach One","Muscat, Muttrah",109 OMR,"Book a reserved coworking spot or hot desk in MUSCAT, Beach One",For Rent
46,"Private office space for 5 persons in DUQM, Squadra","Al Wustaa, Al Duqum",199 OMR,"Private office space for 5 persons in DUQM, Squadra",For Rent
47,22 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",11 OMR,22 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,For Rent
48,100 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
49,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
50,80 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,80 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
51,Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",7 OMR,Furnished Daily in Muscat Al Maabilah,For Rent
52,محلات جديده في المعبيلة سيد فياض بلازا Shop Spaces for Rent in Syed Fayyaz Plaza Mabella,"Muscat, Al Maabilah",250 OMR,محلات جديده في المعبيلة سيد فياض بلازا Shop Spaces for Rent in Syed Fayyaz Plaza Mabella,For Rent
53,100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",170 OMR,100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
54,Furnished Daily in Dhofar Salala,"Dhofar, Salala",18 OMR,Furnished Daily in Dhofar Salala,For Rent
55,70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
56,119 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,119 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
57,Furnished Daily in Dhofar Salala,"Dhofar, Salala",1 OMR,Furnished Daily in Dhofar Salala,For Rent
58,Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,Furnished Daily in Dhofar Salala,For Rent
59,60 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",65 OMR,60 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
60,Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,Furnished Daily in Dhofar Salala,For Rent
61,95 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",290 OMR,95 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,For Rent
62,Furnished Daily in Muscat Ansab,"Muscat, Ansab",7 OMR,Furnished Daily in Muscat Ansab,For Rent
63,300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
64,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
65,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
66,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
67,350 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,350 m2 5 Bedrooms Villa for Rent in Dhofar Salala,For Rent
68,Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",165 OMR,Furnished Monthly in Muscat Ghubrah,For Rent
69,130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",220 OMR,130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
70,Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,Unfurnished Yearly in Muscat Al Khoud,For Rent
71,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
72,Modern 4-Bedroom+Maidroom Villa opposite almouj,"Muscat, Al Mawaleh",590 OMR,Modern 4-Bedroom+Maidroom Villa opposite almouj,For Rent
73,فرصة للبيع أو الاستثمار: صالون نسائي في الحيل الجنوبية,"Muscat, Al-Hail",900 OMR,فرصة للبيع أو الاستثمار: صالون نسائي في الحيل الجنوبية,For Rent
74,160 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",400 OMR,160 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
75,200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
76,Fully Furnished Duplex Villa For Daily Rent,"Dhofar, Salala",,Fully Furnished Duplex Villa For Daily Rent,For Rent
77,Fully Furnished One Bedroom Apartment  Gala Heights,"Muscat, Ghala",390 OMR,Fully Furnished One Bedroom Apartment  Gala Heights,For Rent
78,250 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",110 OMR,250 m2 4 Bedrooms Villa for Rent in Dhofar Salala,For Rent
79,Furnished Daily in Dhofar Salala,"Dhofar, Salala",55 OMR,Furnished Daily in Dhofar Salala,For Rent
80,3 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",55 OMR,3 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,For Rent
81,Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",140 OMR,Furnished Monthly in Muscat Al Khoud,For Rent
82,60 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,60 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
83,90 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",18 OMR,90 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
84,55555 ft² Studio Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,55555 ft² Studio Apartments for Rent in Muscat Al Mawaleh,For Rent
85,Room for rent عرفة للإيجار,"Muscat, Al Maabilah",100 OMR,Room for rent عرفة للإيجار,For Rent
86,Furnished Daily in Dhofar Salala,"Dhofar, Salala",30 OMR,Furnished Daily in Dhofar Salala,For Rent
87,30 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",15 OMR,30 m2 Studio Apartments for Rent in Al Batinah Sohar,For Rent
88,100 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",17 OMR,100 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,For Rent
89,للإيجار – مساحة تخزين 400 م2 في المعبيلة السابعة,"Muscat, Al Maabilah","1,000 OMR",للإيجار – مساحة تخزين 400 م2 في المعبيلة السابعة,For Rent
90,Furnished Daily in Dhofar Salala,"Dhofar, Salala",1 OMR,Furnished Daily in Dhofar Salala,For Rent
91,3BR Penthouse Finaa Alfardan in Prime Location price is negotiable - 1 Month Free,"Muscat, Azaiba","1,050 OMR",3BR Penthouse Finaa Alfardan in Prime Location price is negotiable - 1 Month Free,For Rent
92,Unfurnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",110 OMR,Unfurnished Yearly in Muscat Al Mawaleh,For Rent
93,Unfurnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",115 OMR,Unfurnished Monthly in Muscat Al-Hail,For Rent
94,10 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",12 OMR,10 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,For Rent
95,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
96,280 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,280 m2 5 Bedrooms Villa for Rent in Dhofar Salala,For Rent
97,Furnished Daily in Muscat Al Mouj,"Muscat, Al Mouj",50 OMR,Furnished Daily in Muscat Al Mouj,For Rent
98,50 m2 Studio Apartments for Rent in Muscat Bosher,"Muscat, Bosher",220 OMR,50 m2 Studio Apartments for Rent in Muscat Bosher,For Rent
99,550 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,550 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,For Rent
100,furnished offices in Bousher مكتب مؤثث في بوشر,"Muscat, Bosher",350 OMR,furnished offices in Bousher مكتب مؤثث في بوشر,For Rent
101,محل للإيجار بمساحة  96 متر مربع في الخوير 33 - على شارع المها بموقع حيوي وسهل الوصول,"Muscat, Al Khuwair","1,100 OMR",محل للإيجار بمساحة  96 متر مربع في الخوير 33 - على شارع المها بموقع حيوي وسهل الوصول,For Rent
102,محل كورنر للايجار في الخوض 7  منطقة حيويةخلف مركز العامري، قريبة من مركز السيب التخصصي ومن البيوت,"Muscat, Al Khoud",300 OMR,محل كورنر للايجار في الخوض 7  منطقة حيويةخلف مركز العامري، قريبة من مركز السيب التخصصي ومن البيوت,For Rent
103,Furnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",70 OMR,Furnished Yearly in Muscat Al Mawaleh,For Rent
104,420 m2 5 Bedrooms Villa for Rent in Muscat Azaiba,"Muscat, Azaiba",350 OMR,420 m2 5 Bedrooms Villa for Rent in Muscat Azaiba,For Rent
105,98 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,98 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
106,Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12 OMR,Furnished Daily in Al Dakhiliya Nizwa,For Rent
107,15 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",10 OMR,15 m2 1 Bedroom Apartments for Rent in Muscat Bosher,For Rent
108,90 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",18 OMR,90 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,For Rent
109,65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,For Rent
110,1600 m2 Studio Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,1600 m2 Studio Townhouse for Rent in Dhofar Salala,For Rent
111,2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,2 Bedrooms Chalet for Rent in Dhofar Salala,For Rent
112,80 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,80 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,For Rent
113,مركز الأعمال,"Muscat, Al Khuwair",200 OMR,مركز الأعمال,For Rent
114,300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,For Rent
115,3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",45 OMR,3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,For Rent
116,100 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",17 OMR,100 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,For Rent
117,Studio Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",55 OMR,Studio Chalet for Rent in Al Batinah Barka,For Rent
118,للايجار مكتب في غلا المرحله الاولى 250 متر جنب فندق سنتارا,"Muscat, Ghala",900 OMR,للايجار مكتب في غلا المرحله الاولى 250 متر جنب فندق سنتارا,For Rent
119,Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",90 OMR,Unfurnished Yearly in Muscat Al Khoud,For Rent
120,2 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",50 OMR,2 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,For Rent
121,مكاتب للإيجار بالحوض السابعة قريب المحكمة,"Muscat, Al Khoud",230 OMR,مكاتب للإيجار بالحوض السابعة قريب المحكمة,For Rent
122,للإيجار – مكاتب ذكية في موقع استراتيجي بمسقط قريب مبنى وزارة الاقتصاد (مساحات تصل الى 850 متر ),"Muscat, Ghala",420 OMR,للإيجار – مكاتب ذكية في موقع استراتيجي بمسقط قريب مبنى وزارة الاقتصاد (مساحات تصل الى 850 متر ),For Rent
123,"Townhouse  in Hawana, Salalah دوبلكس تاونهاوس غرفة نوم وصالة وغرفة زجاجية في هوانا ، صلالة","Dhofar, Salala",79 OMR,"Townhouse  in Hawana, Salalah دوبلكس تاونهاوس غرفة نوم وصالة وغرفة زجاجية في هوانا ، صلالة",For Rent
124,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
125,ورشة في صناعية الوادي الكبير workshop in wadi kabir,"Muscat, Wadi Al Kabir",280 OMR,ورشة في صناعية الوادي الكبير workshop in wadi kabir,For Rent
126,Industrial Land for Rent in Muscat Misfah,"Muscat, Misfah",800 OMR,Industrial Land for Rent in Muscat Misfah,For Rent
127,Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",80 OMR,Unfurnished Yearly in Muscat Al Khoud,For Rent
128,250 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",30 OMR,250 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,For Rent
129,إيجار مباشر من المالك محل تجاري أو مخزن بموقع حيوي في السويق–جاهز للتشغيل الفوري Renting a shop or s,"Al Batinah, Suwaiq",80 OMR,إيجار مباشر من المالك محل تجاري أو مخزن بموقع حيوي في السويق–جاهز للتشغيل الفوري Renting a shop or s,For Rent
130,200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
131,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
132,2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",40 OMR,2 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
133,Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",45 OMR,Furnished Monthly in Muscat Al Khuwair,For Rent
134,محلات جديدة للإيجار في روي شارع هوندا ولجه بجانب الإشارات,"Muscat, Ruwi",200 OMR,محلات جديدة للإيجار في روي شارع هوندا ولجه بجانب الإشارات,For Rent
135,Unfurnished Yearly in Muscat Al Khuwair,"Muscat, Al Khuwair",100 OMR,Unfurnished Yearly in Muscat Al Khuwair,For Rent
136,120 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,120 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
137,مكتب للإيجار في شارع 18 نوفمبر,"Muscat, Azaiba",550 OMR,مكتب للإيجار في شارع 18 نوفمبر,For Rent
138,للايجار مكتب بزنس سنتر Business center,"Muscat, Ghala",170 OMR,للايجار مكتب بزنس سنتر Business center,For Rent
139,160 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,160 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
140,Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",100 OMR,Unfurnished Monthly in Muscat Al Mawaleh,For Rent
141,غرف مفروشہ لاجار ال,"Muscat, Al Maabilah",7 OMR,غرف مفروشہ لاجار ال,For Rent
142,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
143,2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",60 OMR,2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
144,1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",160 OMR,1 Bedroom Chalet for Rent in Al Batinah Barka,For Rent
145,للايجار مكتب مؤثث في غلا ل 12 موظف مبنى جديد بمواصفات مميزه مع موقف سياره خاص,"Muscat, Ghala",400 OMR,للايجار مكتب مؤثث في غلا ل 12 موظف مبنى جديد بمواصفات مميزه مع موقف سياره خاص,For Rent
146,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
147,50 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",120 OMR,50 m2 Studio Apartments for Rent in Muscat Al Khuwair,For Rent
148,Special offer for the fully furnished office space,"Muscat, Al Khuwair",170 OMR,Special offer for the fully furnished office space,For Rent
149,900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
150,Furnished Daily in Al Batinah Barka,"Al Batinah, Barka",27 OMR,Furnished Daily in Al Batinah Barka,For Rent
151,175 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",18 OMR,175 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
152,70 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",250 OMR,70 m2 1 Bedroom Apartments for Rent in Muscat Bosher,For Rent
153,50 m2 Studio Apartments for Rent in Muscat Ruwi,"Muscat, Ruwi",100 OMR,50 m2 Studio Apartments for Rent in Muscat Ruwi,For Rent
154,More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",70 OMR,More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,For Rent
155,Furnished Weekly in Muscat Azaiba,"Muscat, Azaiba",210 OMR,Furnished Weekly in Muscat Azaiba,For Rent
156,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
157,4 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",70 OMR,4 Bedrooms Chalet for Rent in Muscat Seeb,For Rent
158,9 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,9 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,For Rent
159,3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",110 OMR,3 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
160,مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),"Dhofar, Salala",100 OMR,مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),For Rent
161,مكتبي الوطيه,"Muscat, Al-Wuttayah",180 OMR,مكتبي الوطيه,For Rent
162,2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,2 Bedrooms Chalet for Rent in Dhofar Salala,For Rent
163,300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","2,500 OMR",300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,For Rent
164,Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,"Muscat, Al-Hail","1,000 OMR",Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,For Rent
165,عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,"Muscat, Amerat",50 OMR,عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,For Rent
166,Large Commercial shop for rent Mawaleh near Muzn Mall.,"Muscat, Al Mawaleh","1,000 OMR",Large Commercial shop for rent Mawaleh near Muzn Mall.,For Rent
167,113 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",120 OMR,113 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,For Rent
